Date,open,high,low,close,volume,price,market_cap,next_day_movement
6/11/2025,,,,,2395.962888,0.000126452,126390.1953,down
6/12/2025,,,,,1881.775556,0.000125591,125529.4959,down
6/13/2025,0.00012366,0.00013223,0.00011802,0.00011886,754.6645494,0.00011886,118810.0963,up
6/14/2025,,,,,2432.310565,0.000125068,125010.6832,up
6/15/2025,,,,,8573.183884,0.000147284,147212.0989,down
6/16/2025,,,,,4456.877032,0.000133251,133185.0747,down
6/17/2025,0.00011887,0.00015406,0.00011017,0.00012585,884.2011403,0.000125855,126266.228,down
6/18/2025,,,,,2902.122547,0.000116599,116541.8869,down
6/19/2025,,,,,1123.982083,0.000109128,109138.3633,up
6/20/2025,,,,,2671.784033,0.000109649,109595.1696,down
6/21/2025,0.00012524,0.00012814,0.00010611,0.00010886,2013.55749,0.000108864,108239.2168,down
6/22/2025,,,,,200.7655221,0.000102589,102537.6915,down
6/23/2025,,,,,221.0818135,0.000100136,100086.5285,up
6/24/2025,,,,,87273.21662,0.000164681,163309.5781,down
6/25/2025,0.00010894,0.00018274,9.62E-05,0.00012707,17897.78872,0.000126433,126409.7918,up
6/26/2025,,,,,1769.99695,0.000129352,129457.4567,up
6/27/2025,,,,,1998.179428,0.000131923,131857.0794,up
6/28/2025,,,,,907.1481358,0.000132206,132139.8019,up
6/29/2025,0.00012775,0.00014762,0.00012657,0.00014503,1916.191835,0.000144933,145546.3606,down
6/30/2025,,,,,2048.56761,0.000138003,138613.1964,up
7/1/2025,,,,,2058.484111,0.000140565,141215.4349,up
7/2/2025,,,,,4344.429877,0.000144316,144625.2573,up
7/2/2025,,,,,4402.324398,0.00014502,144329.5056,N/A
